stop_reason,stops,success,yield,contraband_discoveries
21955 VC - JAYWALKING (I) 54145,77,7,0.0909,7
5 100007 CA - CA REG:VIOLATE CURFEW (M) 66164,77,3,0.039,3
647(B)(1) PC - SOLICT/ENGAG PROSTITUTION (M) 40060,77,3,0.039,3
23152(F) VC - DUI ANY DRUG (M) 42116,76,29,0.3816,24
166(C)(1) PC - CONTEMPT:VIOL PROTECT ORD (M) 50112,76,5,0.0658,5
5201.1(C) VC - ALTER/ETC LIC PLT REFLEC (I) 54791,76,3,0.0395,3
245(A)(4) PC - ADW/FORCE:POSSIBLE GBI (F) 13217 | 245(A)(4) PC - ADW/FORCE:POSSIBLE GBI (F) 13217,74,9,0.1216,8
647(E) PC - DIS CON:LODGE W/O CONSENT (M) 32111 | 647(E) PC - DIS CON:LODGE W/O CONSENT (M) 32111,74,4,0.0541,4
22500.1 VC - NO PARK/STOP ETC FIRE LN (I) 54663,74,3,0.0405,3
21960(A) VC - PEDESTRIAN/ETC ON FREEWAY (I) 54590,73,7,0.0959,7
22106 VC - START/BACKUP VEHICLE:HWY (I) 54132,73,2,0.0274,2
459 PC - BURGLARY:FIRST DEGREE (F) 22021,72,12,0.1667,11
602(I) PC - TRESPASS:DESTROY FENCE (M) 32093,72,2,0.0278,2
1054.2 FG - LICENSE NOT IN POSS/ETC (M) 62023,72,0,0.0,0
242 PC - BATTERY ON PERSON (M) 13048 | 242 PC - BATTERY ON PERSON (M) 13048,71,2,0.0282,2
459.5(A) PC - SHOPLIFTING (M) 23273 | 459.5(A) PC - SHOPLIFTING (M) 23273,69,13,0.1884,13
11532(A) HS - LOITR PUBLIC:ILL DRUG ACT (M) 35349 | 11532(A) HS - LOITR PUBLIC:ILL DRUG ACT (M) 35349,68,41,0.6029,41
22526(A) VC - INTERSECT/ETC:NO CLEARNCE (I) 66958,68,1,0.0147,0
22500(C) VC - PARKING VIOL SAFETY ZONE (I) 66303,68,1,0.0147,1
27152 VC - EXHAUST PIPE VIOLATION (I) 54510,68,0,0.0,0
11550(A) HS - UNDER INFLUENCE CNTL SUB (M) 35212 | 11550(A) HS - UNDER INFLUENCE CNTL SUB (M) 35212,67,8,0.1194,8
602(L)(1) PC - TRESP REF LEAVE BY ORDER (M) 32139 | 602(L)(1) PC - TRESP REF LEAVE BY ORDER (M) 32139,67,3,0.0448,2
21655(B) VC - SPEC VEH:DRIVE WRONG LANE (I) 54363,67,0,0.0,0
422(A) PC - THRTN CRIME:INT:TERRORIZE (M) 16048,66,5,0.0758,4
22352(A) VC - EXCEED PRIMA FACIE SPEED (I) 54418,66,2,0.0303,2
21750(A) VC - OVERTAKE/LEFT PASS VIOL (I) 66945,66,0,0.0,0
484(A) PC - THEFT (M) 23099,65,12,0.1846,12
415(3) PC - OFFENSIVE WORDS IN PUB PL (I) 53151,65,3,0.0462,2
24409(B) VC - FAIL DIM BEAMS:FOLLOW VEH (I) 54154,65,2,0.0308,2
417.4 PC - BRANDISHING F/ARM REPLICA (M) 52240,64,17,0.2656,17
21654(A) VC - SLOW VEH IN LEFT LANE (I) 54404,64,0,0.0,0
647(F) PC - DISORD CONDUCT:UI/DRUG (M) 35005,63,7,0.1111,7
602(B) PC - TRESPASS:REMOVE TIMBER (M) 32024,63,5,0.0794,4
242 PC - BATTERY (M) 13045 | 242 PC - BATTERY (M) 13045,63,4,0.0635,3
314(1) PC - INDECENT EXPOSURE (M) 36343 | 314(1) PC - INDECENT EXPOSURE (M) 36343,63,4,0.0635,4
21806(A)(1) VC - FAIL YIELD/ETC:EMERG VEH (I) 66949,63,0,0.0,0
21451(A) VC - GREEN LT:UTURN/YIELD VIOL (I) 54133,62,0,0.0,0
10851(A) VC - TAKE VEH W/O OWNER CONSNT (M) 24067 | 10851(A) VC - TAKE VEH W/O OWNER CONSNT (M) 24067,61,12,0.1967,10
640(C)(1) PC - FAIL PAY PUB TRNST SYS PR (M) 66218,61,9,0.1475,9
23124(B) VC - USE CELL PH W/DRIV:UND 18 (I) 54567,61,1,0.0164,1
24401 VC - HEADLAMP VIOL LOWER BEAM (I) 66413,61,0,0.0,0
640(D)(3) PC - URINATE/ETC:PUB TRANSIT (M) 66210,60,2,0.0333,2
23109(C) VC - AIDE/ABET SPEED EXHIBITN (M) 54218,59,10,0.1695,5
415.5(A)(2) PC - LOUD/UNREAS NOISE UNV/ETC (M) 33029,59,4,0.0678,4
240/242 PC - ASSAULT & BATTERY (M) 13039 | 240/242 PC - ASSAULT & BATTERY (M) 13039,59,3,0.0508,3
242 PC - BATTERY (F) 13176,59,2,0.0339,2
21800(A) VC - FAIL YIELD INTERSECT:HWY (I) 54405,59,1,0.0169,0
594(A)(1) PC - VANDALISM:DEFACE PROPERTY (M) 29110 | 594(A)(1) PC - VANDALISM:DEFACE PROPERTY (M) 29110,58,1,0.0172,1
11351 HS - POS/PUR F/SALE NARC/C/SUB (F) 35276,57,27,0.4737,27
594(B)(1) PC - VANDALISM $400 OR MORE (F) 29143 | 594(B)(1) PC - VANDALISM $400 OR MORE (F) 29143,57,13,0.2281,12
21202(A) VC - FAIL RIDE BIKE:RT EDGE RD (I) 54019,57,8,0.1404,8
602.8(A) PC - TRESPASS FENCED/PSTD LAND (I) 32136,57,7,0.1228,7
21201.5(B) VC - SELL BICYCLE W/O REFLECTR (I) 54945,57,4,0.0702,4
120451 PU - LOITER TRANSIT FACILITY (I) 48147,57,1,0.0175,1
25662(A) BP - MINOR POSSESS ALCOHOL (M) 41062,56,23,0.4107,22
1551 PC - FUG JUST:WARRANT ARREST (F) 49052,56,10,0.1786,7
853.8 PC - FAILURE TO APPEAR WARRANT (X) 50129,56,8,0.1429,7
22951 VC - PARK LOT ST/ALLEY PARKING (I) 66347,56,3,0.0536,3
21809(A) VC - FAL CAUTION PASS EMGY VEH (I) 54583,56,0,0.0,0
16028(A) VC - FAIL PROVE FIN RSP:PO REQ (I) 54101,56,0,0.0,0
26101(B) VC - USE EQUIP MOD VEH DVC (I) 66521,56,0,0.0,0
24600(E) VC - TAILLAMP VIOL COLOR/VISIB (I) 66427,56,0,0.0,0
25950(A) VC - VEH LAMPS/ETC COLOR VIOL (I) 66973,55,0,0.0,0
451(C) PC - ARSON:FOREST LAND (F) 20020,54,13,0.2407,13
28071 VC - VEHICLE BUMPER VIOLATION (I) 54223,54,1,0.0185,1
22454(A) VC - FL STP SCHL BS RD LT FLSH (I) 66299,54,1,0.0185,0
21663 VC - DRIVE ON SIDEWALK VIOL (I) 54360,53,5,0.0943,4
273A(B) PC - CHILD ABUSE W/O GBI/DTH (M) 38094,53,2,0.0377,2
11352(A) HS - TRANSP/SELL NARC/CNTL SUB (F) 35154,52,23,0.4423,23
496(A) PC - REC KNWN STOLN PROP (F) 28025,52,11,0.2115,10
3455 PC - PRCS VIOLATION (X) 50176,52,4,0.0769,4
273.6(A) PC - VIOL CRT ORD DOM VIOLENCE (M) 50203 | 273.6(A) PC - VIOL CRT ORD DOM VIOLENCE (M) 50203,52,0,0.0,0
484(A) PC - GRAND THEFT (F) 23091,51,14,0.2745,14
14 4451(A) CA - CA REG:CAMPING VIOLATION (M) 62120,51,2,0.0392,2
21655.8(A) VC - EXPRS:SOLID YEL LINES VIO (I) 54388,51,0,0.0,0
207(A) PC - KIDNAPPING (F) 10016,50,6,0.12,6
14601.1(A) VC - DRIVE:LIC SUSPENDED/ETC (M) 54083,50,3,0.06,2
21802(A) VC - ENT THROUGH HWY:W/O YIELD (I) 54105,50,1,0.02,1
594(A)(2) PC - VANDALISM:DAMAGE PROPERTY (F) 29072,49,4,0.0816,2
27803(A) VC - DRV/PASS WEAR APRV HELMET (I) 54606,49,1,0.0204,1
602(A) PC - TRESP:DESTROY STAND TIMBR (M) 32023 | 602(A) PC - TRESP:DESTROY STAND TIMBR (M) 32023,48,4,0.0833,4
602(F) PC - TRESPASS:DAMAGE SIGN (M) 32028,48,3,0.0625,3
26701(D) VC - WRONG COLOR:WINDO/ETC MAT (I) 54204,48,2,0.0417,2
21954(A) VC - PED NOT STOP:OUT CROSWALK (I) 54162,48,2,0.0417,2
24606(C) VC - BACKUP LAMPS LIGHTED VIOL (I) 66437,48,0,0.0,0
5201.1(A) VC - DVC OBSCURE LIC PLATE (I) 54789,48,0,0.0,0
487(A) PC - GRDTHFT:MONEY/LABOR/PROP (F) 23132 | 487(A) PC - GRDTHFT:MONEY/LABOR/PROP (F) 23132,47,23,0.4894,22
422(A) PC - THRTN CRIME:INT:TERRORIZE (F) 16049 | 422(A) PC - THRTN CRIME:INT:TERRORIZE (F) 16049,47,10,0.2128,9
23109(A) VC - ILLEGAL SPEED CONTEST (M) 54007,47,6,0.1277,2
242 PC - BAT W/SERIOUS BODILY INJ (M) 13179,47,2,0.0426,1
22451(A) VC - FAIL STOP/ETC:RR XING/ETC (I) 54203,47,1,0.0213,1
27007 VC - LOUD OUTSIDE VEH AMP SYS (I) 54164,47,1,0.0213,1
4463(A)(1) VC - FORGE/ALTER VEH REG/ETC (M) 25098,46,13,0.2826,11
21655.1(A) VC - DRIVE VEHICLE IN BUS LANE (I) 54724,46,0,0.0,0
24003 VC - VEH WITH UNLAWFUL LAMPS (I) 54376,46,0,0.0,0
